SentenceID,Token,Label
6,antipiretik,B-TREATMENT
6,terbaik,O
6,dibandingkan,O
6,metode,O
6,infusa,B-TREATMENT
6,dan,O
6,dekokta,B-TREATMENT
6,.,O
7,Simpulan,O
7,dari,O
7,kajian,O
7,ini,O
7,menunjukkan,O
7,bahwa,O
7,kunyit,B-HERB
7,berpotensi,O
7,besar,O
7,sebagai,O
7,alternatif,O
7,terapi,B-TREATMENT
7,demam,B-DISEASE
7,yang,O
7,alami,O
7,",",O
7,aman,O
7,",",O
7,dan,O
7,minim,O
7,efek,O
7,samping,O
7,.,O
8,Penelitian,O
8,lebih,O
8,lanjut,O
8,disarankan,O
8,untuk,O
8,menguji,O
8,bioavailabilitas,O
8,",",O
8,stabilitas,O
8,",",O
8,serta,O
8,efektivitasnya,O
8,pada,O
8,subjek,O
8,manusia,B-POPULATION
8,agar,O
8,dapat,O
8,diterapkan,O
8,dalam,O
8,praktik,O
8,klinis,O
8,.,O
9,Kunyit,B-HERB
9,(,O
9,Curcuma,B-HERB
9,longa,I-HERB
9,),O
9,merupakan,O
9,salah,O
9,satu,O
9,tanaman,O
9,herbal,O
9,yang,O
9,sangat,O
9,dikenal,O
9,berkhasiat,O
9,terutama,O
9,bagian,O
9,rimpangnya,B-HERB
9,.,O
10,Kunyit,B-HERB
10,dibudidayakan,O
10,secara,O
10,luas,O
10,di,O
10,India,O
10,",",O
10,Cina,O
10,",",O
10,Indonesia,O
10,",",O
10,dan,O
10,negara-negara,O
10,tropis,O
10,lainnya,O
10,.,O
11,Senyawa,O
11,aktif,O
11,yang,O
11,terkandung,O
11,dalam,O
11,rimpang,B-HERB
11,kunyit,I-HERB
11,antara,O
11,lain,O
11,yaitu,O
11,Kurkuminoid,B-COMPOUND
11,",",O
11,Minyak,B-COMPOUND
11,atsiri,I-COMPOUND
11,",",O
11,Resin,B-COMPOUND
11,(,O
11,termasuk,O
11,terpenoid,B-COMPOUND
11,",",O
11,triterpenoid,B-COMPOUND
11,",",O
11,fenilpropena,B-COMPOUND
11,),O
11,",",O
11,lemak,B-COMPOUND
11,",",O
11,Karbohidrat,B-COMPOUND
11,",",O
11,vitamin,B-COMPOUND
11,dan,O
11,sebagainya,O
11,.,O
12,Kurkumin,B-COMPOUND
12,dipercaya,O
12,mampu,O
12,bekerja,O
12,sebagai,O
12,anti,B-EFFECT
12,bakteri,I-EFFECT
12,diantaranya,O
12,seperti,O
12,bakteri,O
12,Staphylococcus.aureus,O
12,dan,O
12,Escherichia,O
12,coli,O
12,yang,O
12,diharap,O
12,dapat,O
12,menjadi,O
12,alternatif,O
12,untuk,O
12,mengatasi,O
12,infeksi,B-DISEASE
12,dan,O
12,dapat,O
12,mengurangi,O
12,terjadinya,O
12,resistensi,B-DISEASE
12,dari,O
12,penggunaan,O
12,antibiotik,O
12,.,O
13,Mekanisme,O
13,Kurkumin,B-COMPOUND
13,sebagai,O
13,zat,O
13,anti,B-EFFECT
13,bakteri,I-EFFECT
13,adalah,O
13,dengan,O
13,menghancurkan,O
13,dinding,O
13,sel,O
13,dan,O
13,menyebabkan,O
13,kematian,O
13,pada,O
13,sel,O
13,bakteri,O
13,.,O
14,Selain,O
14,sebagai,O
14,anti,B-EFFECT
14,bakteri,I-EFFECT
14,",",O
14,Kunyit,B-HERB
14,jugaidipercaya,O
14,memiliki,O
14,efek,O
14,farmakologis,B-EFFECT
14,sebagai,O
14,anti,B-EFFECT
14,inflamasi,I-EFFECT
14,atau,O
14,peradangan,B-DISEASE
14,dalam,O
14,tubuh,O
14,dengan,O
14,mekanisme,O
14,menghambat,O
14,berbagai,O
14,molekul,O
14,yang,O
14,terlibat,O
14,dalam,O
14,dalam,O
14,proses,O
14,inflamasi,O
14,.,O
15,Tujuanipenulisan,O
15,dari,O
15,artikel,O
15,ini,O
15,adalah,O
15,untuk,O
15,mengetahui,O
15,potensi,O
15,ekstrak,B-TREATMENT
15,herbal,I-TREATMENT
15,Kunyit,I-TREATMENT
15,(,O
15,Curcuma,B-HERB
15,Longa,I-HERB
15,),O
15,sebagai,O
15,anti,O
15,bakteri,O
15,dan,O
15,anti,B-EFFECT
15,inflamasi,I-EFFECT
15,.,O
16,Metode,O
16,penelusuran,O
16,sumber,O
16,dilakukan,O
16,melalui,O
16,mesin,O
16,pencarian,O
16,Google,O
16,Scholar,O
16,",",O
16,Pubmed,O
16,",",O
16,idan,O
16,Elsevier,O
16,.,O
17,Hasil,O
17,penelusuran,O
17,ditemukan,O
17,bahwa,O
17,ektrak,B-TREATMENT
17,Kunyit,B-HERB
17,memiliki,O
17,potensi,O
17,sebagai,O
17,anti,B-EFFECT
17,bakteri,I-EFFECT
17,dan,O
17,anti,B-EFFECT
17,inflamasi,I-EFFECT
17,secara,O
17,efektif,O
17,.,O
18,Semakin,O
18,besar,O
18,konsentasi,O
18,pada,O
18,ekstrak,O
18,maka,O
18,efek,O
18,farmakologis,O
18,yang,O
18,ditimbulkan,O
18,semakin,O
18,besar,O
18,.,O
19,Salah,O
19,satu,O
19,permasalahan,O
19,yang,O
19,sering,O
19,dialami,O
19,oleh,O
19,ibu,B-POPULATION
19,hamil,I-POPULATION
19,pada,O
19,trimester,B-POPULATION
19,II,I-POPULATION
19,dan,O
19,III,B-POPULATION
19,adalah,O
19,stretch,B-DISEASE
19,mark,I-DISEASE
19,(,O
19,Striae,B-DISEASE
19,Gravidarum,I-DISEASE
19,),O
19,salah,O
19,satu,O
19,upaya,O
19,untuk,O
19,mengatasi,O
19,kondisi,O
19,tersebut,O
19,adalah,O
19,menggunakan,O
19,salep,B-TREATMENT
19,kunyit,I-TREATMENT
19,.,O
20,Object,O
20,:,O
20,Tujuan,O
20,penelitian,O
20,ini,O
20,adalah,O
20,untuk,O
20,menganalisis,O
20,artikel,O
20,yang,O
20,relevan,O
20,dan,O
20,berfokus,O
20,pada,O
20,efektifitas,O
20,penggunaan,O
20,salep,B-TREATMENT
20,kunyit,I-TREATMENT
20,terhadap,O
20,ibu,B-POPULATION
20,hamil,I-POPULATION
20,pada,O
20,trimester,B-POPULATION
20,II,I-POPULATION
20,dan,O
20,III,B-POPULATION
20,.,O
21,Method,O
21,:,O
21,Tinjauan,O
21,literatur,O
21,ini,O
21,dilakukan,O
21,dengan,O
21,menggunakan,O
21,database,O
21,dari,O
21,Science,O
21,and,O
21,Technology,O
21,Index,O
21,(,O
21,SINTA,O
21,),O
21,",",O
21,yang,O
21,diterbitkan,O
21,dalam,O
21,Bahasa,O
21,Inggris,O
21,dan,O
21,Bahasa,O
21,Indonesia,O
21,antara,O
21,rentang,O
21,tahun,O
21,2019,O
21,hingga,O
21,2022,O
21,",",O
21,dengan,O
21,proses,O
21,pencarian,O
21,PCC,O
21,(,O
21,Populasi,O
21,:,O
21,Ibu,B-POPULATION
21,hamil,I-POPULATION
21,trimester,B-POPULATION
21,II,I-POPULATION
21,dan,O
21,III,B-POPULATION
21,",",O
21,Konsep,O
21,penggunaan,O
21,salep,B-TREATMENT
21,kunyit,I-TREATMENT
21,",",O
21,konteks,O
21,:,O
21,Klinis,O
21,),O
21,.,O
22,Tinjauan,O
22,sistematis,O
22,dan,O
22,meta-analisis,B-METHOD
22,(,O
22,PRISMA,B-METHOD
22,),O
22,digunakan,O
22,dalam,O
22,proses,O
22,pemilihan,O
22,5,O
22,artikel,O
22,.,O
23,Result,O
23,:,O
23,Penggunaan,O
23,salep,B-TREATMENT
23,kunyit,I-TREATMENT
23,pada,O
23,ibu,B-POPULATION
23,hamil,I-POPULATION
23,pada,O
23,trimester,B-POPULATION
23,II,I-POPULATION
23,dan,O
23,III,B-POPULATION
23,telah,O
23,menjadi,O
23,pilihan,O
23,karena,O
23,mampu,O
23,menyeimbangkan,B-EFFECT
23,pigmentasi,I-EFFECT
23,dan,O
23,antiinflamasi,B-EFFECT
23,yang,O
23,efektif,O
23,.,O
24,Kunyit,B-HERB
24,juga,O
24,menggandung,O
24,vitamin,B-COMPOUND
24,C,I-COMPOUND
24,yang,O
24,berfungsi,O
24,meningkatkan,B-EFFECT
24,sintesis,I-EFFECT
24,kolagen,I-EFFECT
24,dan,O
24,menggurangi,O
24,respon,O
24,inflamasi,O
24,pada,O
24,daerah,O
24,luka,B-DISEASE
24,.,O
25,Selain,O
25,itu,O
25,adanya,O
25,kandungan,O
25,antioksidan,B-COMPOUND
25,juga,O
25,membantu,O
25,menggurangi,O
25,kerusakan,O
25,pada,O
25,daerah,O
25,luka,B-DISEASE
25,.,O
26,Indonesia,O
26,merupakan,O
26,negara,O
26,yang,O
26,berpotensi,O
26,besar,O
26,sebagai,O
26,penghasil,O
26,rempah-rempah,O
26,dan,O
26,bumbu,O
26,masakan,O
26,.,O
27,Rempah-rempah,O
27,asli,O
27,Indonesia,O
27,diantaranya,O
27,yaitu,O
27,Kunyit,B-HERB
27,(,O
27,Curcuma,B-HERB
27,domestica,I-HERB
27,),O
27,memiliki,O
27,aktivitas,O
27,antimikroba,B-EFFECT
27,.,O
28,tumbuhan,O
28,memiliki,O
28,berbagai,O
28,kandungan,O
28,yang,O
28,bermanfaat,O
28,bagi,O
28,manusia,B-POPULATION
28,baik,O
28,kepentingan,O
28,kesehatan,O
28,maupun,O
28,industri,O
28,.,O
29,Zaman,O
29,Rasul,O
29,mengenalkan,O
29,penyembuhan,O
29,metode,O
29,pengobatan,O
29,klasik,O
29,yang,O
29,dapat,O
29,dipercaya,O
29,dengan,O
29,menggunakan,O
29,tanaman,O
29,.,O
30,Di,O
30,dalam,O
30,Al-Quran,O
30,banyak,O
30,disebutkan,O
30,berbagai,O
30,macam,O
30,tumbuhan,O
30,",",O
30,termasuk,O
30,tumbuhan,O
30,yang,O
30,dapat,O
30,dimakan,O
30,dan,O
30,digunakan,O
30,dalam,O
30,pengobatan,O
30,",",O
30,salah,O
30,satunya,O
30,pada,O
30,tanaman,O
30,obat,O
30,tradisional,O
30,yaitu,O
30,kunyit,B-HERB
30,.,O
31,Pemanfaatan,O
31,kunyit,B-HERB
31,juga,O
31,dapat,O
31,digunakan,O
31,sebagai,O
31,zat,O
31,pewarna,O
31,pada,O
31,makanan,O
31,Kunyit,B-HERB
31,mempunyai,O
31,khasiat,O
31,sebagai,O
31,jamu,B-TREATMENT
31,dan,O
31,obat,B-TREATMENT
31,tradisional,I-TREATMENT
31,.,O
32,Senyawa,O
32,yang,O
32,terkandung,O
32,dalam,O
32,kunyit,B-HERB
32,(,O
32,kurkumin,B-COMPOUND
32,dan,O
32,minyak,B-COMPOUND
32,atsiri,I-COMPOUND
32,),O
32,mempunyai,O
32,peranan,O
32,sebagai,O
32,antioksidan,B-COMPOUND
32,",",O
32,antitumor,B-EFFECT
32,",",O
32,antikanker,B-EFFECT
32,",",O
32,antimikroba,B-EFFECT
32,",",O
32,antiracun,B-EFFECT
32,.,O
33,Secara,O
33,tradisional,O
33,kunyit,B-HERB
33,digunakan,O
33,oleh,O
33,masyarakat,O
33,di,O
33,berbagai,O
33,negara,O
33,untuk,O
33,mengobati,O
33,penyakit,O
33,seperti,O
33,penyakit,O
33,yang,O
33,disebabkan,O
33,oleh,O
33,mikroba,O
33,parasit,O
33,",",O
33,gigitan,O
33,serangga,O
33,",",O
33,cacar,B-DISEASE
33,",",O
33,sakit,B-DISEASE
33,perut,I-DISEASE
33,(,O
33,diare,B-DISEASE
33,",",O
33,sembelit,B-DISEASE
33,",",O
33,kembung,B-DISEASE
33,),O
33,",",O
33,gangguan,B-DISEASE
33,pencernaan,I-DISEASE
33,",",O
33,gangguan,B-DISEASE
33,hati,I-DISEASE
33,",",O
33,gangguan,B-DISEASE
33,asma,I-DISEASE
33,",",O
33,menghilangkan,O
33,gatal,B-DISEASE
33,",",O
33,menghilangkan,O
33,penyakit,B-DISEASE
33,kulit,I-DISEASE
33,",",O
33,dan,O
33,mengurangi,O
33,rasa,B-DISEASE
33,nyeri,I-DISEASE
33,.,O
34,Staphylococcus,O
34,aureus,O
34,adalah,O
34,salah,O
34,satu,O
34,penyebab,O
34,utama,O
34,penyakit,O
34,pada,O
34,tubuh,O
34,manusia,B-POPULATION
34,.,O
35,Mayoritas,O
35,orang,O
35,pernah,O
35,terinfeksi,O
35,Staphylococcus,O
35,aureus,O
35,sepanjang,O
35,hidupnya,O
35,dengan,O
35,tingkat,O
35,keganasan,O
35,yang,O
35,berbeda-beda,O
35,",",O
35,seperti,O
35,pioderma,B-DISEASE
35,superfisial,I-DISEASE
35,.,O
36,Infeksi,B-DISEASE
36,yang,O
36,disebabkan,O
36,oleh,O
36,Staphylococcus,O
36,aureus,O
36,umumnya,O
36,diobati,O
36,dengan,O
36,memberikan,O
36,antibiotika,O
36,",",O
36,namun,O
36,dalam,O
36,beberapa,O
36,kasus,O
36,antibiotika,O
36,tidak,O
36,digunakan,O
36,atau,O
36,diresepkan,O
36,secara,O
36,tepat,O
36,sehingga,O
36,dapat,O
36,menimbulkan,O
36,resistensi,B-DISEASE
36,.,O
37,Kunyit,B-HERB
37,mengandung,O
37,beberapa,O
37,senyawa,O
37,aktif,O
37,seperti,O
37,alkaloid,B-COMPOUND
37,",",O
37,flavonoid,B-COMPOUND
37,",",O
37,tanin,B-COMPOUND
37,",",O
37,minyak,B-COMPOUND
37,atsiri,I-COMPOUND
37,",",O
37,terpenoid,B-COMPOUND
37,dan,O
37,kurkuminoid,B-COMPOUND
37,yang,O
37,berperan,O
37,sebagai,O
37,antibakteri,B-EFFECT
37,.,O
38,Tujuan,O
38,:,O
38,Untuk,O
38,membuktikan,O
38,efektivitas,O
38,dan,O
38,konsentrasi,O
38,ekstrak,B-TREATMENT
38,kunyit,I-TREATMENT
38,(,O
38,Curcuma,B-HERB
38,domestica,I-HERB
38,Val,I-HERB
38,.,O
38,),O
39,yang,O
39,paling,O
39,efektif,O
39,dalam,O
39,menghambat,B-EFFECT
39,pertumbuhan,I-EFFECT
39,Staphylococcus,I-EFFECT
39,aureus,I-EFFECT
39,.,O
40,Metode,O
40,:,O
40,Penelitian,O
40,ini,O
40,merupakan,O
40,penelitian,O
40,true,O
40,experimental,O
40,dengan,O
40,desain,O
40,penelitian,O
40,post,O
40,test,O
40,only,O
40,control,O
40,group,O
40,.,O
41,Kunyit,B-HERB
41,yang,O
41,berasal,O
41,dari,O
41,Singaraja,O
41,diekstrak,O
41,menggunakan,O
41,pelarut,O
41,etanol,O
41,96,O
41,%,O
41,dengan,O
41,metode,O
41,maserasi,B-METHOD
41,.,O
42,Konsentrasi,O
42,ekstrak,O
42,yang,O
42,digunakan,O
42,dalam,O
42,penelitian,O
42,ini,O
42,masing-masing,O
42,adalah,O
42,15,O
42,%,O
42,",",O
42,30,O
42,%,O
42,",",O
42,50,O
42,%,O
42,",",O
42,75,O
42,%,O
42,",",O
42,dan,O
42,100,O
42,%,O
42,",",O
42,dimana,O
42,vancomycin,O
42,sebagai,O
42,kontrol,O
42,positif,O
42,dan,O
42,etanol,O
42,96,O
42,%,O
42,sebagai,O
42,kontrol,O
42,negatif,O
42,.,O
43,Pengujian,O
43,dilakukan,O
43,dengan,O
43,metode,B-METHOD
43,difusi,I-METHOD
43,cakram,I-METHOD
43,dengan,O
43,pengulangan,O
43,sebanyak,O
43,4,O
43,kali,O
43,.,O
44,Hasil,O
44,penelitian,O
44,dianalisa,O
44,menggunakan,O
44,uji,B-METHOD
44,Kruskal,I-METHOD
44,Wallis,I-METHOD
44,.,O
45,Hasil,O
45,:,O
45,Rerata,O
45,diameter,O
45,zona,B-EFFECT
45,hambat,I-EFFECT
45,di,O
45,setiap,O
45,konsentrasinya,O
45,secara,O
45,berurutan,O
45,yakni,O
45,7,O
45,mm,O
45,",",O
45,"7,25",O
45,mm,O
45,",",O
45,"7,5",O
45,mm,O
45,",",O
45,7,O
45,mm,O
45,",",O
45,dan,O
45,7,O
45,mm,O
45,.,O
46,Penelitian,O
46,ini,O
46,memperoleh,O
46,angka,O
46,signifikansi,O
46,"0,001",O
46,(,O
46,p,O
46,<,O
46,"0,05",O
46,),O
46,yang,O
46,menunjukan,O
46,ekstrak,B-TREATMENT
46,kunyit,I-TREATMENT
46,dengan,O
46,berbagai,O
46,konsentrasi,O
46,memiliki,O
46,pengaruh,O
46,terhadap,O
46,pertumbuhan,O
46,Staphylococcus,O
46,aureus,O
46,.,O
47,Simpulan,O
47,:,O
47,Ekstrak,B-TREATMENT
47,kunyit,I-TREATMENT
47,(,O
47,Curcuma,B-HERB
47,domestica,I-HERB
47,Val,I-HERB
47,.,O
47,),O
48,dapat,O
48,menghambat,B-EFFECT
48,pertumbuhan,I-EFFECT
48,Staphylococcus,I-EFFECT
48,aureus,I-EFFECT
48,pada,O
48,seluruh,O
48,konsentrasi,O
48,ekstrak,O
48,dengan,O
48,diameter,O
48,zona,B-EFFECT
48,hambat,I-EFFECT
48,paling,O
48,besar,O
48,pada,O
48,ekstrak,O
48,50,O
48,%,O
48,.,O
49,Alzheimer,B-DISEASE
49,merupakan,O
49,gangguan,O
49,demensia,B-DISEASE
49,yang,O
49,paling,O
49,sering,O
49,dialami,O
49,oleh,O
49,penduduk,O
49,di,O
49,seluruh,O
49,dunia,O
49,.,O
50,Alzheimer,B-DISEASE
50,tidak,O
50,hanya,O
50,menyumbang,O
50,angka,O
50,komplikasi,O
50,",",O
50,kecacatan,O
50,",",O
50,dan,O
50,kematian,O
50,yang,O
50,cukup,O
50,tinggi,O
50,",",O
50,namun,O
50,penyakit,O
50,ini,O
50,juga,O
50,berimplikasi,O
50,pada,O
50,aspek,O
50,psikiatri,O
50,dan,O
50,ekonomi,O
50,.,O
51,Sayangnya,O
51,",",O
51,hingga,O
51,saat,O
51,ini,O
51,belum,O
51,ada,O
51,penatalaksanaan,O
51,medis,O
51,yang,O
51,mampu,O
51,untuk,O
51,mengobati,O
51,Alzheimer,B-DISEASE
51,secara,O
51,efektif,O
51,.,O
52,Salah,O
52,satu,O
52,tanaman,O
52,herbal,O
52,yang,O
52,dapat,O
52,dimanfaatkan,O
52,sebagai,O
52,terapi,B-TREATMENT
52,Alzheimer,I-TREATMENT
52,adalah,O
52,kunyit,B-HERB
52,(,O
52,Curcuma,B-HERB
52,longa,I-HERB
52,),O
52,dengan,O
52,komponen,O
52,utamanya,O
52,berupa,O
52,curcumin,B-COMPOUND
52,.,O
53,Tujuan,O
53,penulisan,O
53,karya,O
53,tulis,O
53,ini,O
53,adalah,O
53,untuk,O
53,mengetahui,O
53,mekanisme,O
53,kerja,O
53,dan,O
53,potensi,O
53,aplikasi,O
53,curcumin,B-COMPOUND
53,kunyit,B-HERB
53,sebagai,O
53,terapi,B-TREATMENT
53,bagi,O
53,penderita,B-POPULATION
53,Alzheimer,I-POPULATION
53,.,O
54,Metode,O
54,pengumpulan,O
54,data,O
54,karya,O
54,tulis,O
54,ini,O
54,adalah,O
54,dengan,O
54,melakukan,O
54,studi,B-METHOD
54,literatur,I-METHOD
54,",",O
54,sedangkan,O
54,metode,O
54,analisis,O
54,data,O
54,dengan,O
54,cara,O
54,induktif,O
54,.,O
55,Curcumin,B-COMPOUND
55,dapat,O
55,berpotensi,O
55,sebagai,O
55,penatalaksanaan,O
55,Alzheimer,B-DISEASE
55,karena,O
55,berfungsi,O
55,sebagai,O
55,agen,O
55,neuroprotektor,B-EFFECT
55,dengan,O
55,menghambat,O
55,siklus,O
55,pembentukan,O
55,protein,O
55,β-amiloid,O
55,dan,O
55,protein,O
55,tau,O
55,",",O
55,menurunkan,O
55,aktivitas,O
55,β-secretase,O
55,dan,O
55,asetilkolinesterase,B-COMPOUND
55,",",O
55,serta,O
55,antidislipidemia,O
55,.,O
56,Curcumin,B-COMPOUND
56,juga,O
56,berperan,O
56,sebagai,O
56,antiinflamasi,B-EFFECT
56,melalui,O
56,efek,O
56,menekan,O
56,aktivitas,O
56,NF-kB,O
56,",",O
56,COX-2,B-COMPOUND
56,",",O
56,lipooksigenase,O
56,",",O
56,AP-1,O
56,",",O
56,iNOS,O
56,dan,O
56,Egr-1,O
56,.,O
57,Selain,O
57,kedua,O
57,efek,O
57,itu,O
57,",",O
57,curcumin,B-COMPOUND
57,berpotensi,O
57,sebagai,O
57,agen,O
57,antioksidan,B-COMPOUND
57,dengan,O
57,cara,O
57,menurunkan,O
57,aktivitas,O
57,lipid,O
57,peroksidase,O
57,",",O
57,jumlah,O
57,ROS,O
57,",",O
57,dan,O
57,stress,O
57,oksidatif,O
57,yang,O
57,diinduksi,O
57,oleh,O
57,homosistein,O
57,.,O
58,Hal,O
58,ini,O
58,menunjukkan,O
58,bahwa,O
58,curcumin,B-COMPOUND
58,kunyit,B-HERB
58,memiliki,O
58,potensi,O
58,kuat,O
58,untuk,O
58,dikembangkan,O
58,lebih,O
58,lanjut,O
58,menjadi,O
58,alternatif,O
58,terapi,B-TREATMENT
58,Alzheimer,I-TREATMENT
58,.,O
59,Kunyit,B-HERB
59,(,O
59,Curcuma,B-HERB
59,longa,I-HERB
59,L,O
59,),O
59,merupakan,O
59,tanaman,O
59,herbal,O
59,yang,O
59,sering,O
59,digunakan,O
59,sebagai,O
59,bumbu,O
59,masak,O
59,yang,O
59,dapat,O
59,memberikan,O
59,rasa,O
59,gurih,O
59,dan,O
59,warna,O
59,yang,O
59,menarik,O
59,.,O
60,Selain,O
60,itu,O
60,",",O
60,kunyit,B-HERB
60,juga,O
60,dapat,O
60,dimanfaatkan,O
60,dalam,O
60,bidang,O
60,obat-obatan,O
60,karena,O
60,ia,O
60,mengandung,O
60,senyawa,O
60,bioaktiv,O
60,kurkumin,B-COMPOUND
60,yang,O
60,bermanfaat,O
60,sebagai,O
60,anti,O
60,oksidan,O
60,",",O
60,anti,B-EFFECT
60,peradangan,I-EFFECT
60,dan,O
60,neuroprotektor,B-EFFECT
60,untuk,O
60,demensia,B-DISEASE
60,.,O
61,Penelitian,O
61,ini,O
61,bertujuan,O
61,untuk,O
61,memformulasikan,O
61,tablet,B-TREATMENT
61,ekstrak,I-TREATMENT
61,kunyit,I-TREATMENT
61,yang,O
61,memenuhi,O
61,standar,O
61,uji,O
61,fisik,O
61,dengan,O
61,menggunakan,O
61,metode,O
61,granulasi,O
61,basah,O
61,.,O
62,Formulasi,O
62,tablet,B-TREATMENT
62,ekstrak,I-TREATMENT
62,kunyit,I-TREATMENT
62,dibuat,O
62,ke,O
62,dalam,O
62,tiga,O
62,formula,O
62,yaitu,O
62,F1,O
62,",",O
62,F2,O
62,dan,O
62,F3,O
62,",",O
62,dimana,O
62,komposisi,O
62,aerosol,O
62,",",O
62,laktosa,O
62,",",O
62,gelatin,O
62,dan,O
62,aquades,O
62,dari,O
62,ketiga,O
62,formula,O
62,tersebut,O
62,dirancang,O
62,dengan,O
62,mempertimbangkan,O
62,hasil,O
62,dari,O
62,pengujian,O
62,parameter,O
62,tablet,B-TREATMENT
62,ekstrak,I-TREATMENT
62,kunyit,I-TREATMENT
62,secara,O
62,urut,O
62,.,O
63,Tablet,B-TREATMENT
63,ekstrak,I-TREATMENT
63,kunyit,I-TREATMENT
63,yang,O
63,telah,O
63,dicetak,O
63,kemudian,O
63,diuji,O
63,menggunakan,O
63,alat,O
63,disintegration,B-METHOD
63,tester,I-METHOD
63,",",O
63,dual,O
63,friability,O
63,tester,O
63,dan,O
63,hardness,O
63,tester,O
63,untuk,O
63,menentukan,O
63,waktu,O
63,hancur,O
63,",",O
63,kerapuhan,O
63,",",O
63,kekerasan,O
63,",",O
63,keseragaman,O
63,bobot,O
63,dan,O
63,keseragaman,O
63,ukuran,O
63,.,O
64,Tablet,B-TREATMENT
64,ekstrak,I-TREATMENT
64,kunyit,I-TREATMENT
64,pada,O
64,formulasi,O
64,F3,O
64,dengan,O
64,komposisi,O
64,ekstrak,B-TREATMENT
64,kunyit,I-TREATMENT
64,(,O
64,15,O
64,g,O
64,),O
64,",",O
64,aerosol,O
64,(,O
64,35,O
64,g,O
64,),O
64,",",O
64,laktosa,O
64,(,O
64,"12,8",O
64,g,O
64,),O
64,",",O
64,gelatin,O
64,(,O
64,0.5,O
64,g,O
64,),O
64,",",O
64,magnesium,O
64,stearate,O
64,(,O
64,1,O
64,%,O
64,),O
64,dan,O
64,aquadest,O
64,(,O
64,200,O
64,ml,O
64,),O
64,memenuhi,O
64,persyaratan,O
64,uji,O
64,fisik,O
64,standar,O
64,tablet,O
64,.,O
65,Hasil,O
65,replikasi,O
65,(,O
65,tiga,O
65,kali,O
65,),O
65,dari,O
65,tablet,O
65,tersebut,O
65,diperoleh,O
65,nilai,O
65,bobot,O
65,(,O
65,"0,616",O
65,±,O
65,"0,355",O
65,mg,O
65,),O
65,",",O
65,diameter,O
65,(,O
65,"1,334",O
65,±,O
65,"0,280",O
65,cm,O
65,),O
65,",",O
65,tebal,O
65,(,O
65,"0,518",O
65,±,O
65,"0,039",O
65,),O
65,",",O
65,kerapuhan,O
65,(,O
65,"0,065",O
65,±,O
65,"0,074",O
65,%,O
65,),O
65,",",O
65,kekerasan,O
65,(,O
65,"4,635",O
65,±,O
65,"0,234",O
65,kg,O
65,),O
65,dan,O
65,waktu,O
65,hancur,O
65,(,O
65,"9,918",O
65,±,O
65,"4,386",O
65,),O
65,.,O
66,Tablet,B-TREATMENT
66,ekstrak,I-TREATMENT
66,kunyit,I-TREATMENT
66,dengan,O
66,Formulasi,O
