SentenceID,Token,Label
6,BB,O
6,",",O
6,kelompok,O
6,6,O
6,diberikan,O
6,ekstrak,B-TREATMENT
6,etanol,I-TREATMENT
6,rimpang,B-HERB
6,temulawak,I-HERB
6,dosis,O
6,2,O
6,g,O
6,/,O
6,Kg,O
6,BB,O
6,.,O
7,Kadar,B-DISEASE
7,glukosa,B-COMPOUND
7,darah,B-BODY_PART
7,diperiksa,O
7,setiap,O
7,15,O
7,menit,O
7,selama,O
7,2,O
7,jam,O
7,setelah,O
7,pemberian,O
7,glukosa,B-COMPOUND
7,1,O
7,g,O
7,/,O
7,Kg,O
7,BB,O
7,secara,O
7,oral,O
7,.,O
8,Hasil,O
8,dari,O
8,penelitian,O
8,menunjukkan,O
8,penurunan,B-EFFECT
8,kadar,I-EFFECT
8,glukosa,I-EFFECT
8,darah,I-EFFECT
8,yang,O
8,disebabkan,O
8,oleh,O
8,pemberian,B-TREATMENT
8,ekstrak,I-TREATMENT
8,etanol,B-COMPOUND
8,rimpang,B-HERB
8,temulawak,I-HERB
8,dosis,O
8,"0,5",O
8,g,O
8,/,O
8,Kg,O
8,BB,O
8,",",O
8,1,O
8,g,O
8,/,O
8,Kg,O
8,BB,O
8,dan,O
8,2,O
8,g,O
8,/,O
8,Kg,O
8,BB,O
8,.,O
9,Ekstrak,B-TREATMENT
9,etanol,I-TREATMENT
9,rimpang,B-HERB
9,temulawak,I-HERB
9,2,O
9,g,O
9,/,O
9,Kg,O
9,BB,O
9,lebih,O
9,efektif,O
9,dalam,O
9,menurunkan,B-EFFECT
9,kadar,I-EFFECT
9,glukosa,I-EFFECT
9,darah,I-EFFECT
9,daripada,O
9,ekstrak,B-TREATMENT
9,etanol,I-TREATMENT
9,rimpang,B-HERB
9,temulawak,I-HERB
9,dengan,O
9,dosis,O
9,"0,5",O
9,g,O
9,/,O
9,Kg,O
9,BB,O
9,dan,O
9,1,O
9,g,O
9,/,O
9,Kg,O
9,BB,O
9,serta,O
9,mempunyai,O
9,efek,O
9,yang,O
9,hampir,O
9,sama,O
9,dengan,O
9,metformin,B-COMPOUND
10,Xantorizol,B-COMPOUND
10,merupakan,O
10,senyawa,O
10,penciri,O
10,utama,O
10,temulawak,B-HERB
10,(,O
10,Curcuma,B-HERB
10,xanthorrhiza,I-HERB
10,),O
10,.,O
11,Penelitian,O
11,ini,O
11,bertujuan,O
11,menentukan,O
11,metode,B-METHOD
11,ekstraksi,I-METHOD
11,dan,O
11,pemisahan,O
11,optimum,O
11,untuk,O
11,isolasi,O
11,xantorizol,B-COMPOUND
11,dari,O
11,rimpang,B-HERB
11,temulawak,I-HERB
11,.,O
12,Maserasi,B-METHOD
12,dan,O
12,sokletasi,B-METHOD
12,digunakan,O
12,untuk,O
12,mengekstraksi,O
12,xantorizol,B-COMPOUND
12,dengan,O
12,pelarut,O
12,metanol,B-COMPOUND
12,",",O
12,dietil,B-COMPOUND
12,eter,I-COMPOUND
12,",",O
12,dan,O
12,n-heksana,B-COMPOUND
12,.,O
13,Pemisahan,O
13,dilakukan,O
13,dengan,O
13,kromatografi,B-METHOD
13,kolom,I-METHOD
13,dan,O
13,kromatografi,B-METHOD
13,lapis,I-METHOD
13,tipis,I-METHOD
13,(,O
13,KLT,B-METHOD
13,),O
13,preparatif,O
13,dan,O
13,hasil,O
13,pemisahan,O
13,dikarakterisasi,O
13,berdasarkan,O
13,spektrum,O
13,inframerah,O
13,dan,O
13,kromatografi,B-METHOD
13,gas-spektrum,I-METHOD
13,massa,I-METHOD
13,(,O
13,KG-SM,B-METHOD
13,),O
13,",",O
13,sementara,O
13,persentase,O
13,kemurniannya,O
13,ditentukan,O
13,dengan,O
13,kromatografi,B-METHOD
13,cair,I-METHOD
13,kinerja,I-METHOD
13,tinggi,I-METHOD
13,.,O
14,Ekstrak,B-TREATMENT
14,n-heksana,I-TREATMENT
14,dari,O
14,teknik,O
14,maserasi,B-METHOD
14,memiliki,O
14,kandungan,O
14,xantorizol,B-COMPOUND
14,lebih,O
14,tinggi,O
14,dibanding,O
14,ekstrak,B-TREATMENT
14,lainnya,O
14,yaitu,O
14,sebesar,O
14,168,O
14,mg,O
14,/,O
14,g,O
14,sampel,O
14,.,O
15,Fraksi,O
15,ke,O
15,-,O
15,4,O
15,hasil,O
15,pemisahan,O
15,kolom,O
15,terhadap,O
15,ekstrak,B-TREATMENT
15,n-heksana,I-TREATMENT
15,memberikan,O
15,dua,O
15,spot,O
15,pada,O
15,KLT,B-METHOD
15,dengan,O
15,Rf,O
15,0,O
15,.,O
16,54,O
16,dan,O
16,0,O
16,.,O
17,68,O
17,",",O
17,spot,O
17,dengan,O
17,Rf,O
17,0,O
17,.,O
18,54,O
18,diduga,O
18,merupakan,O
18,xantorizol,B-COMPOUND
18,(,O
18,dikonfirmasi,O
18,dengan,O
18,KG-SM,B-METHOD
18,),O
18,.,O
19,Pemurnian,O
19,lebih,O
19,lanjut,O
19,dengan,O
19,KLT,B-METHOD
19,preparatif,I-METHOD
19,terhadap,O
19,fraksi,O
19,ke,O
19,-,O
19,4,O
19,menghasilkan,O
19,xantorizol,B-COMPOUND
19,dengan,O
19,rendemen,O
19,sebesar,O
19,0,O
19,.,O
20,016,O
20,%,O
20,berdasar,O
20,bobot,O
20,sampel,O
20,dan,O
20,tingkat,O
20,kemurnian,O
20,sebesar,O
20,87,O
20,.,O
21,40,O
21,%,O
21,.,O
22,Rimpang,B-HERB
22,temulawak,I-HERB
22,(,O
22,Curcuma,B-HERB
22,xanthorrhiza,I-HERB
22,),O
22,merupakan,O
22,bagian,O
22,tanaman,O
22,yang,O
22,banyak,O
22,dimanfaatkan,O
22,untuk,O
22,pengobatan,B-TREATMENT
22,tradisional,I-TREATMENT
22,.,O
23,Metabolit,O
23,sekunder,O
23,yang,O
23,memberikan,O
23,aktivitas,O
23,farma,O
23,kologisnya,O
23,adalah,O
23,senyawa,O
23,kurkuminoid,B-COMPOUND
23,dan,O
23,xantorizol,B-COMPOUND
23,.,O
24,Penelitian,O
24,ini,O
24,bertujuan,O
24,untuk,O
24,memperoleh,O
24,metode,O
24,analisis,O
24,kurkuminoid,B-COMPOUND
24,dan,O
24,xantorizol,B-COMPOUND
24,yang,O
24,tervalidasi,O
24,",",O
24,cepat,O
24,",",O
24,dan,O
24,sederhana,O
24,.,O
25,Analisis,O
25,dilaku,O
25,kan,O
25,dengan,O
25,menggunakan,O
25,fase,O
25,diam,O
25,berupa,O
25,lempeng,O
25,KLT,B-METHOD
25,silika,O
25,gel,B-TREATMENT
25,60,O
25,GF,O
25,254,O
25,dan,O
25,fase,O
25,gerak,O
25,di,O
25,klorometana-kloroform,O
25,(,O
25,4,O
25,:,O
25,6,O
25,),O
25,.,O
26,Pemindaian,O
26,(,O
26,scanning,O
26,),O
26,densitometrik,O
26,dilakukan,O
26,pada,O
26,224,O
26,nm,O
26,untuk,O
26,xantorizol,B-COMPOUND
26,dan,O
26,425,O
26,nm,O
26,untuk,O
26,kurkuminoid,B-COMPOUND
26,.,O
27,Metode,O
27,menunjukan,O
27,linieritas,O
27,",",O
27,akurasi,O
27,",",O
27,dan,O
27,presisi,O
27,yang,O
27,baik,O
27,",",O
27,dengan,O
27,batas,O
27,deteksi,O
27,kurkuminoid,B-COMPOUND
27,dan,O
27,xantorizol,B-COMPOUND
27,yaitu,O
27,"7,88",O
27,bpj,O
27,dan,O
27,"28,23",O
27,bpj,O
27,dan,O
27,batas,O
27,kuan,O
27,titasi,O
27,kurkuminoid,B-COMPOUND
27,dan,O
27,xantorizol,B-COMPOUND
27,yaitu,O
27,"23,89",O
27,bpj,O
27,dan,O
27,"85,55",O
27,bpj,O
27,.,O
28,Kadar,O
28,kurkuminoid,B-COMPOUND
28,dan,O
28,xantorizol,B-COMPOUND
28,pada,O
28,ekstrak,B-TREATMENT
28,rimpang,B-HERB
28,temulawak,I-HERB
28,adalah,O
28,"4,95",O
28,±,O
28,"0,01",O
28,dan,O
28,"31,30",O
28,±,O
28,"0,09",O
28,mg,O
28,/,O
28,g,O
28,serbuk,B-TREATMENT
28,simplisia,O
28,.,O
29,Penelitian,O
29,ini,O
29,bertujuan,O
29,untuk,O
29,menentukan,O
29,Uji,B-METHOD
29,Daya,I-METHOD
29,Hambat,I-METHOD
29,Rebusan,B-TREATMENT
29,Rimpang,B-HERB
29,Temulawak,I-HERB
29,(,O
29,Curcuma,O
29,xanthorizza,O
29,Roxb,O
29,.,O
29,),O
29,dan,O
29,Asam,O
29,Jawa,O
29,(,O
29,Tamarindus,O
29,Indica,O
29,Linn,O
29,.,O
29,),O
29,Terhadap,O
29,Streptococcus,O
29,Mutans,O
29,yang,O
29,bertujuan,O
29,untuk,O
29,mengetahui,O
29,daya,B-EFFECT
29,hambat,I-EFFECT
29,rebusan,B-TREATMENT
29,Rimpang,B-HERB
29,Temulawak,I-HERB
29,dan,O
29,Asam,O
29,Jawa,O
29,dalam,O
29,menghambat,O
29,Streptococcus,O
29,Mutans,O
29,.,O
30,Sampel,O
30,Temulawak,B-HERB
30,dan,O
30,Asam,O
30,Jawa,O
30,yang,O
30,diperoleh,O
30,dari,O
30,kota,O
30,Kendari,O
30,.,O
31,Kemudian,O
31,dibuat,O
31,rebusan,B-TREATMENT
31,dengan,O
31,konsentari,O
31,Temulawak,B-HERB
31,50%,O
31,dan,O
31,Asam,O
31,Jawa,O
31,50%,O
31,",",O
31,kontrol,O
31,negative,O
31,menggunakan,O
31,aquades,O
31,dan,O
31,kontrol,O
31,positif,O
31,menggunakan,O
31,enkasari,O
31,.,O
32,Pengujian,O
32,dilakukan,O
32,dengan,O
32,mengukur,O
32,zona,O
32,hambatan,O
32,akibat,O
32,pemberian,O
32,sampel,O
32,",",O
32,rata-rata,O
32,yang,O
32,dihasilkan,O
32,dari,O
32,rebusan,B-TREATMENT
32,rimpang,B-HERB
32,Temulawak,I-HERB
32,50%,O
32,adalah,O
32,"10,66",O
32,mm,O
32,",",O
32,untuk,O
32,Asam,O
32,Jawa,O
32,50%,O
32,adalah,O
32,24,O
32,mm,O
32,",",O
32,sedangkan,O
32,pada,O
32,kombinasi,O
32,rebusan,B-TREATMENT
32,Rimpang,B-HERB
32,Temulawak,I-HERB
32,dan,O
32,Asam,O
32,Jawa,O
32,dengan,O
32,perbandingan,O
32,3,O
32,:,O
32,1,O
32,adalah,O
32,"21,33",O
32,mm,O
32,1,O
32,:,O
32,1,O
32,adalah,O
32,"20,66",O
32,mm,O
32,",",O
32,1,O
32,:,O
32,3,O
32,adalah,O
32,"18,66",O
32,mm,O
32,",",O
32,adapun,O
32,pada,O
32,kontrol,O
32,positif,O
32,adalah,O
32,"16,33",O
32,mm,O
32,.,O
33,Hasil,O
33,yang,O
33,diperoleh,O
33,dianalisis,O
33,secara,O
33,statistic,O
33,dengan,O
33,menggunakan,O
33,rancangan,B-METHOD
33,acak,I-METHOD
33,lengkap,I-METHOD
33,dan,O
33,uji,O
33,beda,O
33,nyata,O
33,terkecil,O
33,menunjukan,O
33,adanya,O
33,perbedaan,O
33,Fh,O
33,>,O
33,Ft,O
33,dimana,O
33,nilai,O
33,Fh,O
33,yaitu,O
33,"112,119",O
33,sedangkan,O
33,nilai,O
33,Ft,O
33,yaitu,O
33,"3,18",O
33,pada,O
33,taraf,O
33,"0,05",O
33,.,O
34,Berdasarkan,O
34,hasil,O
34,penelitian,O
34,ini,O
34,",",O
34,maka,O
34,dapat,O
34,disimpulkan,O
34,bahwa,O
34,rebusan,B-TREATMENT
34,Rimpang,B-HERB
34,Temulawak,I-HERB
34,(,O
34,Curcuma,O
34,xanthorizza,O
34,Roxb,O
34,),O
34,dan,O
34,Asam,O
34,Jawa,O
34,(,O
34,Tamarindus,O
34,Indika,O
34,Linn,O
34,),O
34,memiliki,O
34,daya,B-EFFECT
34,hambat,I-EFFECT
34,terhadap,O
34,Streptococcus,O
34,Mutans,O
34,.,O
35,Rimpang,B-HERB
35,temulawak,I-HERB
35,(,O
35,Curcuma,B-HERB
35,xanthorrhiza,I-HERB
35,Roxb,I-HERB
35,.,O
35,),O
35,dikenal,O
35,memiliki,O
35,banyak,O
35,manfaat,O
35,untuk,O
35,kesehatan,O
35,sebagai,O
35,antibakteri,B-EFFECT
35,",",O
35,antiinfl,O
35,amasi,O
35,",",O
35,antidiabetes,B-EFFECT
35,dan,O
35,antikanker,B-EFFECT
35,.,O
36,Tujuan,O
36,dari,O
36,penelitian,O
36,ini,O
36,untuk,O
36,membandingkan,O
36,aktivitas,O
36,antiinfl,O
36,amasi,O
36,dari,O
36,ekstrak,B-TREATMENT
36,rimpang,B-HERB
36,temulawak,I-HERB
36,dengan,O
36,nanopartikelnya,O
36,.,O
37,Ekstrak,B-TREATMENT
37,rimpang,B-HERB
37,temulawak,I-HERB
37,dibuat,O
37,dengan,O
37,maserasi,B-METHOD
37,yang,O
37,menggunakan,O
37,pelarut,O
37,etanol,B-COMPOUND
37,96%,O
37,(,O
37,v,O
37,/,O
37,v,O
37,),O
37,.,O
38,Ekstrak,B-TREATMENT
38,dibuat,O
38,menjadi,O
38,nanopartikel,B-TREATMENT
38,dengan,O
38,metode,O
38,gelasi,O
38,ionik,O
38,dimana,O
38,menggunakan,O
38,kitosan,O
38,dan,O
38,tripolifosfat,O
38,.,O
39,Uji,O
39,antiinfl,O
39,amasi,O
39,in,B-METHOD
39,vitro,I-METHOD
39,dilakukan,O
39,dengan,O
39,metode,B-METHOD
39,penghambatan,I-METHOD
39,denaturasi,I-METHOD
39,protein,I-METHOD
39,.,O
40,Hasil,O
40,uji,O
40,aktivitas,O
40,antiinfl,O
40,amasi,O
40,dengan,O
40,menggunakan,O
40,metode,B-METHOD
40,penghambatan,I-METHOD
40,denaturasi,I-METHOD
40,protein,I-METHOD
40,pada,O
40,ekstrak,B-TREATMENT
40,dan,O
40,nanopartikel,B-TREATMENT
40,ektrak,O
40,rimpang,B-HERB
40,temulawak,I-HERB
40,menunjukkan,O
40,bahwa,O
40,ekstrak,B-TREATMENT
40,memiliki,O
40,aktivitas,O
40,antiinfl,O
40,amasi,O
40,.,O
41,Hasil,O
41,menunjukkan,O
41,nilai,O
41,rata-rata,O
41,penghambatan,B-METHOD
41,denaturasi,I-METHOD
41,protein,I-METHOD
41,(,O
41,IC,O
41,50,O
41,),O
41,dari,O
41,ektrak,O
41,"521,67",O
41,±,O
41,"5,80",O
41,bpj,O
41,sedangkan,O
41,nilai,O
41,IC,O
41,50,O
41,dari,O
41,nanopartikel,B-TREATMENT
41,ektrak,O
41,rimpang,B-HERB
41,temulawak,I-HERB
41,yang,O
41,diuji,O
41,yaitu,O
41,"398,02",O
41,±,O
41,"1,78",O
41,bpj,O
41,.,O
42,Sehingga,O
42,hasilnya,O
42,menunjukkan,O
42,bahwa,O
42,aktivitas,O
42,antiinfl,O
42,amasi,O
42,nanopartikel,B-TREATMENT
42,ekstrak,B-TREATMENT
42,rimpang,B-HERB
42,temulawak,I-HERB
42,lebih,O
42,baik,O
42,daripada,O
42,ekstrak,B-TREATMENT
42,rimpang,B-HERB
42,temulawak,I-HERB
43,Hipertensi,B-DISEASE
43,merupakan,O
43,faktor,O
43,risiko,O
43,utama,O
43,penyakit,B-DISEASE
43,kardiovaskular,I-DISEASE
43,yang,O
43,meningkat,O
43,di,O
43,Indonesia,O
43,",",O
43,terutama,O
43,pada,O
43,populasi,O
43,lansia,B-POPULATION
43,.,O
44,Penggunaan,O
44,jus,B-TREATMENT
44,mengkudu,B-HERB
44,(,O
44,Morinda,B-HERB
44,citrifolia,I-HERB
44,),O
44,sebagai,O
44,terapi,O
44,alami,O
44,telah,O
44,dipelajari,O
44,karena,O
44,kandungan,O
44,bioaktifnya,O
44,",",O
44,seperti,O
44,scopoletin,B-COMPOUND
44,dan,O
44,xeronin,O
44,",",O
44,yang,O
44,diduga,O
44,memiliki,O
44,efek,O
44,vasodilatasi,O
44,dan,O
44,diuretik,O
44,",",O
44,sehingga,O
44,berpotensi,O
44,menurunkan,B-EFFECT
44,tekanan,I-EFFECT
44,darah,I-EFFECT
44,.,O
45,Penelitian,O
45,ini,O
45,bertujuan,O
45,untuk,O
45,meninjau,O
45,efektivitas,O
45,jus,B-TREATMENT
45,mengkudu,B-HERB
45,dalam,O
45,mengontrol,B-EFFECT
45,tekanan,I-EFFECT
45,darah,I-EFFECT
45,pada,O
45,penderita,B-POPULATION
45,hipertensi,I-POPULATION
45,melalui,O
45,kajian,O
45,literatur,O
45,.,O
46,Metode,O
46,yang,O
46,digunakan,O
46,adalah,O
46,tinjauan,O
46,literatur,O
46,sistematis,O
46,dengan,O
46,pencarian,O
46,pada,O
46,database,O
46,PubMed,B-METHOD
46,",",O
46,ScienceDirect,O
46,",",O
46,dan,O
46,Google,B-METHOD
46,Scholar,I-METHOD
46,untuk,O
46,artikel,O
46,yang,O
46,relevan,O
46,antara,O
46,tahun,O
46,2019,O
46,hingga,O
46,2024,O
46,.,O
47,Kriteria,O
47,inklusi,O
47,mencakup,O
47,penelitian,O
47,yang,O
47,mengkaji,O
47,efek,O
47,jus,B-TREATMENT
47,mengkudu,B-HERB
47,pada,O
47,tekanan,O
47,darah,B-BODY_PART
47,manusia,B-POPULATION
47,.,O
48,Hasil,O
48,kajian,O
48,menunjukkan,O
48,bahwa,O
48,jus,B-TREATMENT
48,mengkudu,B-HERB
48,menurunkan,B-EFFECT
48,tekanan,I-EFFECT
48,darah,I-EFFECT
48,sistolik,O
48,dan,O
48,diastolik,O
48,secara,O
48,signifikan,O
48,",",O
48,terutama,O
48,pada,O
48,lansia,B-POPULATION
48,.,O
49,Beberapa,O
49,penelitian,O
49,menunjukkan,O
49,peningkatan,O
49,produksi,O
49,oksida,O
49,nitrat,O
49,setelah,O
49,konsumsi,O
49,jus,B-TREATMENT
49,mengkudu,B-HERB
49,",",O
49,yang,O
49,berperan,O
49,dalam,O
49,relaksasi,O
49,pembuluh,O
49,darah,B-BODY_PART
49,.,O
50,Studi,O
50,juga,O
50,menunjukkan,O
50,bahwa,O
50,kombinasi,O
50,jus,B-TREATMENT
50,mengkudu,B-HERB
50,dan,O
50,mentimun,O
50,dapat,O
50,memberikan,O
50,efek,O
50,tambahan,O
50,dalam,O
50,mengontrol,B-EFFECT
50,tekanan,I-EFFECT
50,darah,I-EFFECT
50,.,O
51,Pembahasan,O
51,menyimpulkan,O
51,bahwa,O
51,jus,B-TREATMENT
51,mengkudu,B-HERB
51,efektif,O
51,sebagai,O
51,terapi,O
51,tambahan,O
51,untuk,O
51,hipertensi,B-DISEASE
51,melalui,O
51,mekanisme,O
51,vasodilatasi,O
51,dan,O
51,penghambatan,O
51,enzim,O
51,angiotensin-converting,O
51,enzyme,O
51,(,O
51,ACE,O
51,),O
51,",",O
51,memberikan,O
51,alternatif,O
51,yang,O
51,aman,O
51,bagi,O
51,pengelolaan,O
51,hipertensi,B-DISEASE
51,.,O
52,Kesimpulannya,O
52,",",O
52,jus,B-TREATMENT
52,mengkudu,B-HERB
52,menunjukkan,O
52,potensi,O
52,besar,O
52,sebagai,O
52,terapi,O
52,pendukung,O
52,yang,O
52,alami,O
52,dan,O
52,efektif,O
52,untuk,O
52,menurunkan,B-EFFECT
52,tekanan,I-EFFECT
52,darah,I-EFFECT
52,.,O
53,Penelitian,O
53,lebih,O
53,lanjut,O
53,diperlukan,O
53,untuk,O
53,memahami,O
53,dosis,O
53,optimal,O
53,dan,O
53,efek,O
53,jangka,O
53,panjang,O
53,dari,O
53,jus,B-TREATMENT
53,mengkudu,B-HERB
53,pada,O
53,populasi,O
53,yang,O
53,lebih,O
53,luas,O
53,.,O
54,Karies,B-DISEASE
54,gigi,I-DISEASE
54,merupakan,O
54,penyakit,O
54,jaringan,B-BODY_PART
54,keras,O
54,gigi,B-BODY_PART
54,yang,O
54,sampai,O
54,saat,O
54,ini,O
54,belum,O
54,dapat,O
54,disembuhkan,O
54,.,O
55,Namun,O
55,",",O
55,proses,O
55,perburukan,O
55,akibat,O
55,penyakit,O
55,ini,O
55,bisa,O
55,diantisipasi,O
55,dengan,O
55,menambal,O
55,atau,O
55,menghilangkannya,O
55,.,O
56,Upaya,O
56,pencegahan,O
56,terhadap,O
56,penyakit,O
56,ini,O
56,harus,O
56,dapat,O
56,mengintervensi,O
56,setidaknya,O
56,salah,O
56,satu,O
56,faktor,O
56,penyebab,O
56,karies,B-DISEASE
56,",",O
56,salah,O
56,satunya,O
56,adalah,O
56,Lactobacillus,O
56,acidophilus,O
56,.,O
57,Buah,B-HERB
57,mengkudu,I-HERB
57,(,O
57,Morinda,B-HERB
57,citrofolia,I-HERB
57,L,I-HERB
57,.,O
57,),O
57,yang,O
57,merupakan,O
57,tanaman,O
57,endemik,O
57,di,O
57,Indonesia,O
57,termasuk,O
57,Sumatera,O
57,Selatan,O
57,",",O
57,mengandung,O
57,scopoletin,B-COMPOUND
57,yang,O
57,bersifat,O
57,bakteriostatik,O
57,terhadap,O
57,Lactobacillus,O
57,dan,O
57,dapat,O
57,mencegah,O
57,perlekatan,O
57,Lactobacillus,O
57,acidophilus,O
57,pada,O
57,pelikel,O
57,yang,O
57,didapat,O
57,pada,O
57,permukaan,O
57,gigi,B-BODY_PART
57,sehingga,O
57,mengurangi,O
57,resiko,O
57,penyakit,O
57,gigi,B-BODY_PART
57,.,O
58,karies,B-DISEASE
58,.,O
59,Tujuan,O
59,:,O
59,Untuk,O
59,mengetahui,O
59,daya,B-EFFECT
59,hambat,I-EFFECT
59,ekstrak,B-TREATMENT
59,mengkudu,B-HERB
59,(,O
59,Morinda,B-HERB
59,citrofolia,I-HERB
59,L,I-HERB
59,.,O
59,),O
59,terhadap,O
59,Lactobacillus,O
59,acidophilus,O
59,.,O
60,Metode,O
60,:,O
60,Penelitian,O
60,ini,O
60,merupakan,O
60,penelitian,O
60,eksperimen,O
60,dengan,O
60,rancangan,O
60,post,O
60,test-only,O
60,control,O
60,group,O
60,design,O
60,.,O
61,Ekstrak,B-TREATMENT
61,mengkudu,B-HERB
61,pada,O
61,konsentrasi,O
61,20%,O
61,",",O
61,40%,O
61,",",O
61,dan,O
61,80%,O
61,diuji,O
61,daya,O
61,hambatnya,O
61,terhadap,O
61,pertumbuhan,O
61,Lactobacillus,O
61,acidophilus,O
61,pada,O
61,media,O
61,agar,O
61,de,O
61,Man,O
61,Rogosa,O
61,Sharpe,O
61,(,O
61,MRS,O
61,),O
61,dengan,O
61,yodium,O
61,1%,O
61,sebagai,O
61,kontrol,O
61,positif,O
61,dan,O
61,alkohol,O
61,70%,O
61,sebagai,O
61,kontrol,O
61,negatif,O
61,.,O
62,kontrol,O
62,.,O
63,Data,O
63,dianalisis,O
63,menggunakan,O
63,uji,O
63,One-Way,O
63,Anova,B-METHOD
63,.,O
64,Hasil,O
64,:,O
64,Ekstrak,B-TREATMENT
64,mengkudu,B-HERB
64,pada,O
64,konsentrasi,O
64,20%,O
64,",",O
64,40%,O
64,",",O
64,dan,O
64,80%,O
64,efektif,O
64,menghambat,B-EFFECT
64,pertumbuhan,I-EFFECT
64,Lactobacillus,O
64,acidophilus,O
64,dengan,O
64,rata-rata,O
64,zona,O
64,hambat,O
64,masing-masing,O
64,"7,2",O
64,mm,O
64,",",O
64,"8,3",O
64,mm,O
64,",",O
64,dan,O
64,"11,2",O
64,mm,O
64,.,O
65,Ekstrak,B-TREATMENT
65,mengkudu,B-HERB
65,80%,O
65,bahkan,O
65,lebih,O
65,efektif,O
65,menghambat,B-EFFECT
65,pertumbuhan,I-EFFECT
65,Lactobacillus,O
65,acidophilus,O
65,dibandingkan,O
65,kontrol,O
65,positif,O
65,.,O
66,Simpulan,O
66,:,O
66,Ekstrak,B-TREATMENT
66,mengkudu,B-HERB
66,pada,O
66,konsentrasi,O
66,20%,O
66,",",O
66,40%,O
66,",",O
66,dan,O
66,80%,O
66,efektif,O
66,menghambat,B-EFFECT
66,pertumbuhan,I-EFFECT
66,Lactobacillus,O
66,acidophilus,O
66,.,O
67,Secara,O
67,empiris,O
67,maupun,O
67,hasil,O
67,penelitian,O
67,medis,O
67,membuktikan,O
67,bahwa,O
67,kandungan,O
67,senyawa,O
67,kimia,O
67,yang,O
67,terdapat,O
67,dalam,O
67,tanaman,O
67,mengkudu,B-HERB
67,bermanfaat,O
67,bagi,O
67,kesehatan,O
67,.,O
68,Hasil,O
68,penelitian,O
68,terdahulu,O
68,melaporkan,O
68,bahwa,O
68,ekstrak,B-TREATMENT
68,buah,B-HERB
68,mengkudu,I-HERB
68,memiliki,O
68,efek,O
68,dalam,O
68,menurunkan,B-EFFECT
68,kadar,I-EFFECT
68,glukosa,I-EFFECT
68,darah,I-EFFECT
68,.,O
69,Tujuan,O
69,penelitian,O
69,ini,O
69,adalah,O
69,untuk,O
69,mengetahui,O
69,efektivitas,O
69,pemberian,O
